time_sec,clients,run,cpu_usr,cpu_sys,cpu_idle
400,1,3,100.00,0.00,0.00
402,1,3,%usr,%sys,%idle
403,1,3,100.00,0.00,0.00
405,1,3,%usr,%sys,%idle
406,1,3,100.00,0.00,0.00
408,1,3,%usr,%sys,%idle
409,1,3,100.00,0.00,0.00
411,1,3,%usr,%sys,%idle
412,1,3,100.00,0.00,0.00
414,1,3,%usr,%sys,%idle
415,1,3,100.00,0.00,0.00
417,1,3,%usr,%sys,%idle
418,1,3,100.00,0.00,0.00
420,1,3,%usr,%sys,%idle
421,1,3,100.00,0.00,0.00
423,1,3,%usr,%sys,%idle
424,1,3,100.00,0.00,0.00
426,1,3,%usr,%sys,%idle
427,1,3,100.00,0.00,0.00
429,1,3,%usr,%sys,%idle
430,1,3,100.00,0.00,0.00
432,1,3,%usr,%sys,%idle
433,1,3,100.00,0.00,0.00
435,1,3,%usr,%sys,%idle
436,1,3,100.00,0.00,0.00
438,1,3,%usr,%sys,%idle
439,1,3,100.00,0.00,0.00
441,1,3,%usr,%sys,%idle
442,1,3,100.00,0.00,0.00
444,1,3,%usr,%sys,%idle
445,1,3,100.00,0.00,0.00
447,1,3,%usr,%sys,%idle
448,1,3,100.00,0.00,0.00
450,1,3,%usr,%sys,%idle
451,1,3,100.00,0.00,0.00
453,1,3,%usr,%sys,%idle
454,1,3,100.00,0.00,0.00
456,1,3,%usr,%sys,%idle
457,1,3,100.00,0.00,0.00
459,1,3,%usr,%sys,%idle
460,1,3,100.00,0.00,0.00
462,1,3,%usr,%sys,%idle
463,1,3,100.00,0.00,0.00
465,1,3,%usr,%sys,%idle
466,1,3,100.00,0.00,0.00
468,1,3,%usr,%sys,%idle
469,1,3,100.00,0.00,0.00
471,1,3,%usr,%sys,%idle
472,1,3,100.00,0.00,0.00
474,1,3,%usr,%sys,%idle
475,1,3,100.00,0.00,0.00
477,1,3,%usr,%sys,%idle
478,1,3,100.00,0.00,0.00
480,1,3,%usr,%sys,%idle
481,1,3,100.00,0.00,0.00
483,1,3,%usr,%sys,%idle
484,1,3,100.00,0.00,0.00
486,1,3,%usr,%sys,%idle
487,1,3,100.00,0.00,0.00
489,1,3,%usr,%sys,%idle
490,1,3,100.00,0.00,0.00
492,1,3,%usr,%sys,%idle
493,1,3,100.00,0.00,0.00
495,1,3,%usr,%sys,%idle
496,1,3,100.00,0.00,0.00
498,1,3,%usr,%sys,%idle
499,1,3,100.00,0.00,0.00
501,1,3,%usr,%sys,%idle
502,1,3,100.00,0.00,0.00
504,1,3,%usr,%sys,%idle
505,1,3,100.00,0.00,0.00
507,1,3,%usr,%sys,%idle
508,1,3,100.00,0.00,0.00
510,1,3,%usr,%sys,%idle
