time_sec,clients,run,throughput
45,4,1,5641628
46,4,1,5641909
47,4,1,5641478
48,4,1,5641412
49,4,1,5643004
50,4,1,5644805
51,4,1,5641307
52,4,1,5643960
53,4,1,5640019
54,4,1,5643696
55,4,1,5642500
56,4,1,5644680
57,4,1,5641264
58,4,1,5642634
59,4,1,5641452
60,4,1,5638755
61,4,1,11044
1,4,2,5717884
2,4,2,5738415
3,4,2,5739239
4,4,2,5741984
5,4,2,5737449
6,4,2,5739162
7,4,2,5735926
8,4,2,5742547
9,4,2,5738496
10,4,2,5741382
11,4,2,5740517
12,4,2,5743237
13,4,2,5740420
14,4,2,5742364
15,4,2,5738692
16,4,2,5744954
17,4,2,5742396
18,4,2,5744368
19,4,2,5742296
20,4,2,5744362
21,4,2,5741449
22,4,2,5741834
23,4,2,5739458
24,4,2,5741747
25,4,2,5740059
26,4,2,5742347
27,4,2,5738860
28,4,2,5743080
29,4,2,5739980
30,4,2,5743461
31,4,2,5740176
32,4,2,5742653
33,4,2,5738507
34,4,2,5742340
35,4,2,5738538
36,4,2,5742848
37,4,2,5739549
38,4,2,5740460
39,4,2,5740308
40,4,2,5741176
41,4,2,5738688
42,4,2,5742226
43,4,2,5739401
44,4,2,5742177
45,4,2,5738685
46,4,2,5741072
47,4,2,5738954
48,4,2,5744840
49,4,2,5744521
50,4,2,5744326
51,4,2,5740471
52,4,2,5743336
53,4,2,5741542
54,4,2,5745252
55,4,2,5741735
56,4,2,5744692
57,4,2,5739569
58,4,2,5743682
59,4,2,5740481
60,4,2,5741948
61,4,2,8652
1,4,3,5640266
2,4,3,5675807
3,4,3,5679151
4,4,3,5673228
5,4,3,5674184
6,4,3,5671360
7,4,3,5673794
8,4,3,5672415
9,4,3,5672598
10,4,3,5673163
11,4,3,5674571
12,4,3,5666082
13,4,3,5669386
14,4,3,5670143
15,4,3,5672364
16,4,3,5672492
17,4,3,5674550
18,4,3,5668188
19,4,3,5670243
20,4,3,5665911
21,4,3,5669506
22,4,3,5666085
23,4,3,5669973
24,4,3,5668232
25,4,3,5668447
26,4,3,5669096
27,4,3,5673866
28,4,3,5669691
29,4,3,5674888
30,4,3,5671092
31,4,3,5671948
32,4,3,5672667
33,4,3,5676766
34,4,3,5673420
35,4,3,5674030
36,4,3,5673576
37,4,3,5675446
38,4,3,5672017
39,4,3,5673520
40,4,3,5673479
41,4,3,5674446
42,4,3,5672936
43,4,3,5675208
44,4,3,5671463
45,4,3,5672910
46,4,3,5674650
47,4,3,5673461
48,4,3,5675013
49,4,3,5676853
50,4,3,5673861
51,4,3,5676352
52,4,3,5674632
53,4,3,5675716
54,4,3,5673836
55,4,3,5674537
56,4,3,5676469
57,4,3,5676075
58,4,3,5675136
59,4,3,5674136
60,4,3,5674754
61,4,3,23092
1,8,1,6697414
2,8,1,6890545
3,8,1,6889283
4,8,1,6893738
5,8,1,6890835
6,8,1,6894305
7,8,1,6888705
8,8,1,6891227
9,8,1,6892556
10,8,1,6895063
11,8,1,6893523
12,8,1,6893134
13,8,1,6890902
14,8,1,6893148
15,8,1,6889432
16,8,1,6892372
17,8,1,6891271
18,8,1,6891317
19,8,1,6892410
20,8,1,6894907
21,8,1,6892128
22,8,1,6893985
23,8,1,6894107
24,8,1,6894737
25,8,1,6894517
26,8,1,6895430
27,8,1,6892240
28,8,1,6895100
29,8,1,6893367
30,8,1,6894490
31,8,1,6889402
32,8,1,6894054
33,8,1,6890085
34,8,1,6894622
35,8,1,6889493
36,8,1,6892199
37,8,1,6894310
38,8,1,6894731
39,8,1,6893152
40,8,1,6895712
41,8,1,6892811
42,8,1,6895831
43,8,1,6894399
44,8,1,6896285
45,8,1,6895562
46,8,1,6894056
47,8,1,6894659
48,8,1,6896735
49,8,1,6893996
50,8,1,6899188
51,8,1,6895316
52,8,1,6897774
53,8,1,6894722
54,8,1,6896440
55,8,1,6892727
56,8,1,6897077
57,8,1,6892682
58,8,1,6898295
59,8,1,6896142
60,8,1,6897166
61,8,1,13736
1,8,2,6638120
2,8,2,8081077
3,8,2,8099699
4,8,2,8094240
5,8,2,8091150
6,8,2,8091360
7,8,2,8097785
8,8,2,8093503
9,8,2,8098072
10,8,2,8096821
11,8,2,8098946
12,8,2,8098889
13,8,2,8102860
14,8,2,8100202
15,8,2,8105634
16,8,2,8100656
17,8,2,8103050
18,8,2,8104504
19,8,2,8103914
20,8,2,8101752
21,8,2,8103822
22,8,2,8102608
23,8,2,8105550
24,8,2,8104732
25,8,2,8103465
26,8,2,8096956
27,8,2,8103973
28,8,2,8102127
29,8,2,8105306
30,8,2,8100969
31,8,2,8102797
32,8,2,8102518
33,8,2,8100141
34,8,2,8102092
35,8,2,8101949
36,8,2,8099780
37,8,2,8102128
38,8,2,8099647
39,8,2,8106275
40,8,2,8100520
41,8,2,8102024
42,8,2,8101381
43,8,2,8101321
44,8,2,8099834
45,8,2,8101790
46,8,2,8101250
47,8,2,8101602
48,8,2,8097076
49,8,2,8102606
50,8,2,8098680
51,8,2,8105071
52,8,2,8102720
53,8,2,8104429
54,8,2,8100324
55,8,2,8103794
56,8,2,8100354
57,8,2,8100124
58,8,2,8102312
59,8,2,8103304
60,8,2,8100870
61,8,2,18392
1,8,3,6609668
2,8,3,6634727
3,8,3,6634773
4,8,3,6636187
5,8,3,6633349
6,8,3,6632495
7,8,3,6637568
8,8,3,6636304
9,8,3,6636446
10,8,3,6638264
11,8,3,6640234
12,8,3,6639830
13,8,3,6639272
14,8,3,6640513
15,8,3,6642182
16,8,3,6638813
17,8,3,6638889
18,8,3,6638434
19,8,3,6640570
20,8,3,6637448
21,8,3,6633992
22,8,3,6639011
23,8,3,6638023
24,8,3,6638132
25,8,3,6637410
26,8,3,6637579
27,8,3,6639113
28,8,3,6636438
29,8,3,6638311
30,8,3,6639047
31,8,3,6640295
32,8,3,6637802
33,8,3,6637400
34,8,3,6636866
35,8,3,6640683
36,8,3,6637047
37,8,3,6653672
38,8,3,6638953
39,8,3,6638043
40,8,3,6637919
41,8,3,6637548
42,8,3,6638808
43,8,3,6640367
44,8,3,6638439
45,8,3,6637231
46,8,3,6638649
47,8,3,6641101
48,8,3,6638565
49,8,3,6637190
50,8,3,6639747
51,8,3,6637734
52,8,3,6636676
53,8,3,6637043
54,8,3,6641063
55,8,3,6640193
56,8,3,6637503
57,8,3,6640032
58,8,3,6639267
59,8,3,6642289
60,8,3,6642009
61,8,3,19952
1,16,1,8859397
2,16,1,8891907
3,16,1,8894772
4,16,1,8908786
5,16,1,8903014
6,16,1,8909669
7,16,1,8919087
8,16,1,8914372
9,16,1,8916060
10,16,1,8906845
11,16,1,8900704
12,16,1,8907982
13,16,1,8915673
14,16,1,8915104
15,16,1,8904027
16,16,1,8917820
17,16,1,8919741
18,16,1,8918993
19,16,1,8916558
20,16,1,8903210
21,16,1,8916399
22,16,1,8919271
23,16,1,8917630
24,16,1,8909427
25,16,1,8905398
26,16,1,8912860
27,16,1,8916372
28,16,1,8921296
29,16,1,8924036
30,16,1,8918055
31,16,1,8912389
32,16,1,8912891
33,16,1,8912031
34,16,1,8911744
35,16,1,8917043
36,16,1,8917934
37,16,1,8911049
38,16,1,8911786
39,16,1,8909188
40,16,1,8908246
41,16,1,8919017
42,16,1,8926562
43,16,1,8925672
44,16,1,8928986
45,16,1,8906594
46,16,1,8913880
47,16,1,8910374
48,16,1,8916298
49,16,1,8911545
50,16,1,8913312
51,16,1,8904568
52,16,1,8918652
53,16,1,8927582
54,16,1,8913168
55,16,1,8918461
56,16,1,8923111
57,16,1,8917287
58,16,1,8912907
59,16,1,8920134
60,16,1,8925460
61,16,1,49904
1,16,2,8751613
2,16,2,8706235
3,16,2,8713712
4,16,2,8717965
5,16,2,8716286
6,16,2,8711228
7,16,2,8715845
8,16,2,8708485
9,16,2,8719955
10,16,2,8721331
11,16,2,8724037
12,16,2,8711239
13,16,2,8707281
14,16,2,8701066
15,16,2,8710914
16,16,2,8705227
17,16,2,8711175
18,16,2,8706254
19,16,2,8708958
20,16,2,8717498
21,16,2,8718063
22,16,2,8709375
23,16,2,8703094
24,16,2,8708443
25,16,2,8707794
26,16,2,8708893
27,16,2,8704804
28,16,2,8698264
29,16,2,8712168
30,16,2,8717611
31,16,2,8720938
32,16,2,8718319
33,16,2,8715737
34,16,2,8708754
35,16,2,8708704
36,16,2,8706234
37,16,2,8707111
38,16,2,8715589
39,16,2,8706604
40,16,2,8707604
41,16,2,8710801
42,16,2,8706556
43,16,2,8710748
44,16,2,8705914
45,16,2,8713026
46,16,2,8703175
47,16,2,8718267
48,16,2,8726227
49,16,2,8713943
50,16,2,8713712
51,16,2,8716063
52,16,2,8709222
53,16,2,8705701
54,16,2,8703382
55,16,2,8709592
56,16,2,8699674
57,16,2,8705232
58,16,2,8715413
59,16,2,8721398
60,16,2,8713357
61,16,2,47552
1,16,3,8955186
2,16,3,8995763
3,16,3,9015336
4,16,3,9014092
5,16,3,9018076
6,16,3,9014242
7,16,3,9014046
8,16,3,9018295
9,16,3,9016770
10,16,3,9027854
11,16,3,9020912
12,16,3,9023591
13,16,3,9009088
14,16,3,9023081
15,16,3,9020104
16,16,3,9029058
17,16,3,9019584
18,16,3,9019236
19,16,3,9023951
20,16,3,9022360
21,16,3,9022085
22,16,3,9022681
23,16,3,9015231
