clients,queue_size,run,client_id,avg_latency_ns,p50_latency_ns,p99_latency_ns
64,2,2,46,14638.7,14562.3,16592.4
64,2,2,47,14593.3,14540.5,16498.8
64,2,2,48,14501,14443.2,16532.4
64,2,2,49,14431.4,14396,16447
64,2,2,50,14643.3,14581.4,16617
64,2,2,51,14719.6,14651.4,16667
64,2,2,52,14477.8,14426,16420.6
64,2,2,53,14286.4,14238.7,16206
64,2,2,54,14679.6,14638.7,16587.9
64,2,2,55,14563.3,14509.6,16633.3
64,2,2,56,14452.8,14396,16230.6
64,2,2,57,14526.9,14315.1,16416
64,2,2,58,14601,14570.5,16618.8
64,2,2,59,14586.9,14560.5,16531.5
64,2,2,60,14518.3,14480.5,16485.1
64,2,2,61,14276.4,14248.7,16241.5
64,2,2,62,14641.4,14606,16740.6
64,2,2,63,14714.6,14617.8,16507
64,2,3,0,21855.8,21775.3,23839
64,2,3,1,22088.1,21980.8,24504.5
64,2,3,2,22346.7,22336.3,24816.3
64,2,3,3,21624,21648,23679
64,2,3,4,21729,21643.5,24431.8
64,2,3,5,21974.9,21955.3,24297.2
64,2,3,6,21600.8,21605.3,23882.7
64,2,3,7,21994.4,21987.2,24125.4
64,2,3,8,21932.6,21879,24079
64,2,3,9,21987.6,21948.1,24282.7
64,2,3,10,21884.9,21925.3,24296.3
64,2,3,11,21465.8,21523.5,23222.7
64,2,3,12,22041.7,22107.2,24327.2
64,2,3,13,22009.4,21928.1,24300
64,2,3,14,21847.6,21829.9,24027.2
64,2,3,15,21839,21887.1,24082.7
64,2,3,16,21872.6,21910.8,24053.6
64,2,3,17,22150.3,22164.4,24346.3
64,2,3,18,22027.2,22024.4,24086.3
64,2,3,19,21960.3,21846.2,24117.2
64,2,3,20,21718.1,21751.7,23690.8
64,2,3,21,22024,22038.1,24140
64,2,3,22,22082.2,22126.2,24468.1
64,2,3,23,21770.8,21778.1,24056.3
64,2,3,24,21666.7,21689.9,23819.9
64,2,3,25,22043.5,22025.3,24310.9
64,2,3,26,21945.8,21899.9,23982.7
64,2,3,27,21793.1,21801.7,23928.1
64,2,3,28,21769.9,21849.9,23861.8
64,2,3,29,22119,22208.1,24265.4
64,2,3,30,22116.7,22180.8,24159
64,2,3,31,21900.8,21910.8,23888.1
64,2,3,32,21644.9,21670.8,23975.4
64,2,3,33,21772.6,21789.9,23800.9
64,2,3,34,22012.2,22033.5,24120
64,2,3,35,21838.5,21791.7,23830.9
64,2,3,36,21566.7,21563.5,23640.8
64,2,3,37,21445.8,21471.7,23399
64,2,3,38,22016.2,21989,24326.3
64,2,3,39,21988.5,21973.5,23956.3
64,2,3,40,22272.2,22146.2,24348.1
64,2,3,41,21886.7,21899.9,24138.1
