time_sec,clients,run,throughput
42,4,1,4836671
43,4,1,4836798
44,4,1,4839964
45,4,1,4836849
46,4,1,4839748
47,4,1,4836079
48,4,1,4838953
49,4,1,4838075
50,4,1,4840702
51,4,1,4837863
52,4,1,4839467
53,4,1,4836043
54,4,1,4839432
55,4,1,4835720
56,4,1,4840393
57,4,1,4837611
58,4,1,4838280
59,4,1,4837464
60,4,1,4840356
61,4,1,6064
1,4,2,4954716
2,4,2,4971999
3,4,2,4974644
4,4,2,4971982
5,4,2,4973784
6,4,2,4968884
7,4,2,4972260
8,4,2,4971834
9,4,2,4974613
10,4,2,4974548
11,4,2,4976322
12,4,2,4972908
13,4,2,4972928
14,4,2,4972487
15,4,2,4972408
16,4,2,4969484
17,4,2,4971972
18,4,2,4972304
19,4,2,4977586
20,4,2,4971711
21,4,2,4974844
22,4,2,4971989
23,4,2,4974600
24,4,2,4972519
25,4,2,4973889
26,4,2,4974833
27,4,2,4976567
28,4,2,4976568
29,4,2,4972864
30,4,2,4972781
31,4,2,4975004
32,4,2,4974889
33,4,2,4973580
34,4,2,4971424
35,4,2,4973827
36,4,2,4973005
37,4,2,4975707
38,4,2,4971350
39,4,2,4973493
40,4,2,4970900
41,4,2,4973160
42,4,2,4970231
43,4,2,4972276
44,4,2,4972758
45,4,2,4975375
46,4,2,4972964
47,4,2,4975872
48,4,2,4973580
49,4,2,4972808
50,4,2,4970392
51,4,2,4973988
52,4,2,4971934
53,4,2,4973298
54,4,2,4970536
55,4,2,4975845
56,4,2,4974612
57,4,2,4977424
58,4,2,4974984
59,4,2,4976716
60,4,2,4973688
61,4,2,10684
1,4,3,3992141
2,4,3,4018884
3,4,3,4016154
4,4,3,4017495
5,4,3,4013636
6,4,3,4009244
7,4,3,4008188
8,4,3,4020020
9,4,3,4021887
10,4,3,4017883
11,4,3,4018284
12,4,3,4020838
13,4,3,4023658
14,4,3,4018887
15,4,3,4014671
16,4,3,4012136
17,4,3,4021447
18,4,3,4027548
19,4,3,4020292
20,4,3,4017902
21,4,3,4014511
22,4,3,4016300
23,4,3,4012301
24,4,3,4016388
25,4,3,4014028
26,4,3,4018020
27,4,3,4018340
28,4,3,4022332
29,4,3,4019214
30,4,3,4020972
31,4,3,4023940
32,4,3,4020540
33,4,3,4016908
34,4,3,4019070
35,4,3,4020540
36,4,3,4020064
37,4,3,4016144
38,4,3,4014848
39,4,3,4014704
40,4,3,4012480
41,4,3,4012420
42,4,3,4018048
43,4,3,4015721
44,4,3,4013175
45,4,3,4013816
46,4,3,4020008
47,4,3,4022972
48,4,3,4018538
49,4,3,4012768
50,4,3,4020996
51,4,3,4012088
52,4,3,4022908
53,4,3,4018210
54,4,3,4022647
55,4,3,4022104
56,4,3,4016674
57,4,3,4019240
58,4,3,4019773
59,4,3,4019772
60,4,3,4018390
61,4,3,6960
1,8,1,8082003
2,8,1,8116997
3,8,1,8121166
4,8,1,8122106
5,8,1,8120968
6,8,1,8121380
7,8,1,8120852
8,8,1,8121549
9,8,1,8123784
10,8,1,8121711
11,8,1,8123903
12,8,1,8123005
13,8,1,8122057
14,8,1,8124988
15,8,1,8121824
16,8,1,8124683
17,8,1,8123351
18,8,1,8123944
19,8,1,8124743
20,8,1,8122378
21,8,1,8122944
22,8,1,8125959
23,8,1,8122040
24,8,1,8125325
25,8,1,8119489
26,8,1,8124548
27,8,1,8123568
28,8,1,8125430
29,8,1,8123681
30,8,1,8124572
31,8,1,8125134
32,8,1,8125105
33,8,1,8121283
34,8,1,8124456
35,8,1,8120990
36,8,1,8127403
37,8,1,8122934
38,8,1,8123353
39,8,1,8123935
40,8,1,8124884
41,8,1,8122141
42,8,1,8123663
43,8,1,8124154
44,8,1,8123440
45,8,1,8121332
46,8,1,8125720
47,8,1,8121660
48,8,1,8123824
49,8,1,8125039
50,8,1,8124430
51,8,1,8119839
52,8,1,8123606
53,8,1,8123384
54,8,1,8124935
55,8,1,8123492
56,8,1,8123636
57,8,1,8122823
58,8,1,8124195
59,8,1,8120676
60,8,1,8121149
61,8,1,27776
1,8,2,7237379
2,8,2,7272627
3,8,2,7274854
4,8,2,7276327
5,8,2,7271064
6,8,2,7274845
7,8,2,7273291
8,8,2,7273578
9,8,2,7274260
10,8,2,7272471
11,8,2,7276222
12,8,2,7278860
13,8,2,7281699
14,8,2,7279649
15,8,2,7276882
16,8,2,7273053
17,8,2,7274300
18,8,2,7278250
19,8,2,7275398
20,8,2,7270485
21,8,2,7278210
22,8,2,7278009
23,8,2,7277921
24,8,2,7278054
25,8,2,7275768
26,8,2,7274845
27,8,2,7277402
28,8,2,7278019
29,8,2,7280795
30,8,2,7278024
31,8,2,7285518
32,8,2,7282264
33,8,2,7287174
34,8,2,7286853
35,8,2,7287997
36,8,2,7283019
37,8,2,7283466
38,8,2,7284027
39,8,2,7287660
40,8,2,7279233
41,8,2,7279659
42,8,2,7279083
43,8,2,7283258
44,8,2,7279942
45,8,2,7282060
46,8,2,7274860
47,8,2,7279522
48,8,2,7283022
49,8,2,7284803
50,8,2,7281786
51,8,2,7285470
52,8,2,7285090
53,8,2,7284988
54,8,2,7285003
55,8,2,7287653
56,8,2,7285894
57,8,2,7285046
58,8,2,7282158
59,8,2,7283602
60,8,2,7285428
61,8,2,24832
1,8,3,7901645
2,8,3,7938160
3,8,3,7939370
4,8,3,7941325
5,8,3,7939005
6,8,3,7940984
7,8,3,7936808
8,8,3,7941619
9,8,3,7939686
10,8,3,7944204
11,8,3,7939468
12,8,3,7944335
13,8,3,7941893
14,8,3,7943905
15,8,3,7941952
16,8,3,7943154
17,8,3,7940884
18,8,3,7945624
19,8,3,7941661
20,8,3,7942912
21,8,3,7940648
22,8,3,7943949
23,8,3,7943446
24,8,3,7942603
25,8,3,7939567
26,8,3,7944534
27,8,3,7939375
28,8,3,7943873
29,8,3,7942162
30,8,3,7943426
31,8,3,7941252
32,8,3,7944406
33,8,3,7940345
34,8,3,7945117
35,8,3,7941992
36,8,3,7942476
37,8,3,7941243
38,8,3,7944521
39,8,3,7940332
40,8,3,7944588
41,8,3,7941336
42,8,3,7945058
43,8,3,7941531
44,8,3,7943155
45,8,3,7940668
46,8,3,7944030
47,8,3,7940141
48,8,3,7941891
49,8,3,7940711
50,8,3,7943716
51,8,3,7939958
52,8,3,7943927
53,8,3,7939845
54,8,3,7943436
55,8,3,7938755
56,8,3,7942146
57,8,3,7941377
58,8,3,7944572
59,8,3,7940023
60,8,3,7941732
61,8,3,26784
1,16,1,9330447
2,16,1,9390759
3,16,1,9403168
4,16,1,9403408
5,16,1,9408162
6,16,1,9404598
7,16,1,9405663
8,16,1,9397232
9,16,1,9396295
10,16,1,9388861
11,16,1,9397775
12,16,1,9398029
13,16,1,9399755
14,16,1,9392790
